Időbélyeg,1. Naponta átlagosan mennyi időt tölt digitális eszközök használatával?,2. Milyen gyakran használ különböző jelszavakat a különböző online fiókjaihoz? ,3. Milyen gyakran használ legalább 12 karakter hosszú jelszavakat? ,4.  Milyen gyakran használ speciális karaktereket a jelszavaiban? ,5. Milyen gyakran használ kétlépcsős azonosítást (2FA) online fiókjai védelmére?,6. Milyen gyakran használ jelszókezelő alkalmazást jelszavai biztonságos tárolására? ,7. Milyen gyakran ellenőrzi az e-mailek feladóját megnyitás előtt? ,8. Milyen gyakran kerüli el az ismeretlen linkekre való kattintást e-mailekben? ,9. Milyen gyakran ismeri fel az adathalász e-maileket? ,10. Milyen gyakran ellenőrzi egy gyanús üzenet hitelességét?  ,11. Milyen gyakran ad meg személyes adatokat online ellenőrzés nélkül? ,12. Milyen gyakran frissíti az operációs rendszert és az alkalmazásokat?  ,13. Milyen gyakran használ vírusirtó vagy egyéb biztonsági szoftvert az eszközei védelmére?,"14. Milyen gyakran használ képernyőzárat (pl. PIN-kód, jelszó vagy biometria) az eszközein?",15. Milyen gyakran használ nyilvános Wi-Fi-t érzékeny adatok elérésére? ,16.  Milyen gyakran készít biztonsági mentést fontos adatairól?  ,Neme,Melyik korcsoportba tartozik?,Hol lakik?,Milyen iskolai végzettséggel rendelkezik?,Pontszám,Kategória
2026/04/15 4:29:00 du. EET,3–5 óra,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Részben jellemző,Teljes mértékben jellemző,Részben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Férfi,18–25 év,Nagyközség,Alapfokú végzettség (8 általános vagy kevesebb),57,Magas
2026/04/15 8:11:21 du. EET,1–3 óra,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Nő,36–50 év,Város,Érettségi,69,Magas
2026/04/15 8:24:17 du. EET,1 óránál kevesebb,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Inkább nem jellemző,Inkább nem jellemző,Nő,36–50 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,35,Alacsony
2026/04/15 8:24:35 du. EET,1–3 óra,Inkább jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Inkább nem jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Nő,50 év felett,Város,Szakiskola / Szakképzés / Szakmunkásképző,53,Közepes
2026/04/15 8:30:46 du. EET,7 óránál több,Részben jellemző,Inkább jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Részben jellemző,Inkább jellemző,Nő,18–25 év,Község/falu,Egyetemi alapképzés,64,Magas
2026/04/15 8:31:26 du. EET,1–3 óra,Inkább nem jellemző,Részben jellemző,Inkább nem jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Nő,18–25 év,Város,Egyetemi alapképzés,54,Közepes
2026/04/15 8:35:04 du. EET,1–3 óra,Inkább nem jellemző,Inkább jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Nő,36–50 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,49,Közepes
2026/04/15 8:43:39 du. EET,1–3 óra,Inkább jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább jellemző,Részben jellemző,Nő,36–50 év,Község/falu,Alapfokú végzettség (8 általános vagy kevesebb),48,Közepes
2026/04/15 9:00:49 du. EET,1–3 óra,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább nem jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Nő,36–50 év,Város,Érettségi,27,Alacsony
2026/04/15 9:21:14 du. EET,3–5 óra,Részben jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Község/falu,Érettségi,56,Magas
2026/04/15 9:22:04 du. EET,7 óránál több,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Inkább jellemző,Inkább jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Férfi,50 év felett,Nagyközség,Egyetemi alapképzés,63,Magas
2026/04/15 9:36:11 du. EET,3–5 óra,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Részben jellemző,Inkább nem jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Nő,18–25 év,Város,Érettségi,43,Közepes
2026/04/15 10:06:01 du. EET,1–3 óra,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Nő,50 év felett,Város,Szakiskola / Szakképzés / Szakmunkásképző,41,Közepes
2026/04/15 10:06:39 du. EET,3–5 óra,Inkább nem jellemző,Inkább jellemző,Inkább jellemző,Inkább nem jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Nő,26–35 év,Község/falu,Érettségi,60,Magas
2026/04/15 10:33:54 du. EET,3–5 óra,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Inkább nem jellemző,Inkább jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Férfi,50 év felett,Város,Szakiskola / Szakképzés / Szakmunkásképző,37,Közepes
2026/04/15 11:01:34 du. EET,1–3 óra,Részben jellemző,Teljes mértékben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,58,Magas
2026/04/16 8:26:40 de. EET,7 óránál több,Inkább jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Férfi,18–25 év,Város,Egyetemi alapképzés,50,Közepes
2026/04/16 8:40:09 de. EET,1–3 óra,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Inkább jellemző,Férfi,36–50 év,Város,Érettségi,62,Magas
2026/04/16 9:16:26 de. EET,1 óránál kevesebb,Egyáltalán nem jellemző rám,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább jellemző,Férfi,36–50 év,Város,Érettségi,58,Magas
2026/04/16 2:05:50 du. EET,1–3 óra,Részben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Nő,36–50 év,Város,Egyetemi alapképzés,56,Magas
2026/04/16 4:55:05 du. EET,1 óránál kevesebb,Inkább jellemző,Részben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Nő,36–50 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,59,Magas
2026/04/16 5:33:19 du. EET,3–5 óra,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Inkább nem jellemző,Inkább nem jellemző,Nő,50 év felett,Város,Szakiskola / Szakképzés / Szakmunkásképző,33,Alacsony
2026/04/16 8:21:11 du. EET,1–3 óra,Inkább jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,55,Közepes
2026/04/16 8:23:22 du. EET,1 óránál kevesebb,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Férfi,36–50 év,Város,Érettségi,33,Alacsony
2026/04/17 1:21:15 du. EET,3–5 óra,Inkább nem jellemző,Részben jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Részben jellemző,Inkább nem jellemző,Inkább nem jellemző,Nő,50 év felett,Város,Érettségi,52,Közepes
2026/04/17 1:28:28 du. EET,3–5 óra,Inkább nem jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább nem jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Város,Érettségi,34,Alacsony
2026/04/17 9:16:15 du. EET,1 óránál kevesebb,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább jellemző,Inkább jellemző,Részben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Nő,50 év felett,Város,Érettségi,44,Közepes
2026/04/18 6:45:05 de. EET,1–3 óra,Egyáltalán nem jellemző rám,Részben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Teljes mértékben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Részben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Nő,36–50 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,43,Közepes
2026/04/18 3:26:28 du. EET,5–7 óra,Inkább nem jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Inkább nem jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Inkább nem jellemző,Nő,26–35 év,Város,Érettségi,32,Alacsony
2026/04/18 10:11:36 du. EET,3–5 óra,Részben jellemző,Inkább jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Nő,36–50 év,Megyeszékhely,Szakiskola / Szakképzés / Szakmunkásképző,36,Közepes
2026/04/19 3:26:41 du. EET,3–5 óra,Részben jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Inkább nem jellemző,Inkább jellemző,Teljes mértékben jellemző,Részben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább jellemző,Részben jellemző,Férfi,18–25 év,Város,Érettségi,53,Közepes
2026/04/19 9:01:17 du. EET,1–3 óra,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,52,Közepes
2026/04/26 8:28:36 de. EEST,3–5 óra,Részben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Férfi,18–25 év,Város,Érettségi,59,Magas
